Creating 1000 new traders and sending orders:
Received: 1000 messages

Order Book(BTC -> ETH)
Entries: 1000, Bids: 496, Asks: 504
{'q': 2000, 'p_low': 94, 'p_high': 119, 'u_max': 481, 'order_type': 'sell', 'order_id': 'Trader0:1'}
{'q': 1086, 'p_low': 95, 'p_high': 109, 'u_max': 465, 'order_type': 'buy', 'order_id': 'Trader78:1'}
{'q': 1240, 'p_low': 91, 'p_high': 119, 'u_max': 425, 'order_type': 'sell', 'order_id': 'Trader80:1'}
{'q': 1701, 'p_low': 94, 'p_high': 110, 'u_max': 497, 'order_type': 'buy', 'order_id': 'Trader82:1'}
{'q': 1843, 'p_low': 88, 'p_high': 115, 'u_max': 434, 'order_type': 'sell', 'order_id': 'Trader84:1'}
{'q': 1924, 'p_low': 97, 'p_high': 102, 'u_max': 439, 'order_type': 'sell', 'order_id': 'Trader86:1'}
{'q': 1357, 'p_low': 80, 'p_high': 106, 'u_max': 483, 'order_type': 'sell', 'order_id': 'Trader88:1'}
{'q': 1015, 'p_low': 82, 'p_high': 104, 'u_max': 498, 'order_type': 'sell', 'order_id': 'Trader90:1'}
{'q': 1772, 'p_low': 80, 'p_high': 114, 'u_max': 457, 'order_type': 'sell', 'order_id': 'Trader92:1'}
{'q': 1429, 'p_low': 93, 'p_high': 116, 'u_max': 412, 'order_type': 'buy', 'order_id': 'Trader94:1'}
{'q': 1784, 'p_low': 95, 'p_high': 103, 'u_max': 427, 'order_type': 'buy', 'order_id': 'Trader96:1'}
{'q': 1692, 'p_low': 88, 'p_high': 101, 'u_max': 492, 'order_type': 'sell', 'order_id': 'Trader98:1'}
{'q': 1237, 'p_low': 90, 'p_high': 115, 'u_max': 493, 'order_type': 'sell', 'order_id': 'Trader100:1'}
{'q': 1821, 'p_low': 99, 'p_high': 114, 'u_max': 455, 'order_type': 'buy', 'order_id': 'Trader102:1'}
{'q': 1678, 'p_low': 98, 'p_high': 110, 'u_max': 444, 'order_type': 'sell', 'order_id': 'Trader104:1'}
{'q': 1325, 'p_low': 87, 'p_high': 116, 'u_max': 456, 'order_type': 'sell', 'order_id': 'Trader106:1'}
{'q': 1796, 'p_low': 83, 'p_high': 109, 'u_max': 456, 'order_type': 'sell', 'order_id': 'Trader108:1'}
{'q': 1833, 'p_low': 83, 'p_high': 115, 'u_max': 481, 'order_type': 'buy', 'order_id': 'Trader110:1'}
{'q': 1654, 'p_low': 96, 'p_high': 107, 'u_max': 403, 'order_type': 'buy', 'order_id': 'Trader112:1'}
{'q': 1792, 'p_low': 92, 'p_high': 110, 'u_max': 452, 'order_type': 'buy', 'order_id': 'Trader114:1'}
{'q': 1773, 'p_low': 81, 'p_high': 109, 'u_max': 424, 'order_type': 'sell', 'order_id': 'Trader116:1'}
{'q': 1626, 'p_low': 92, 'p_high': 119, 'u_max': 473, 'order_type': 'buy', 'order_id': 'Trader118:1'}
{'q': 1425, 'p_low': 92, 'p_high': 101, 'u_max': 463, 'order_type': 'buy', 'order_id': 'Trader120:1'}
{'q': 1654, 'p_low': 94, 'p_high': 120, 'u_max': 408, 'order_type': 'sell', 'order_id': 'Trader122:1'}
{'q': 1039, 'p_low': 87, 'p_high': 102, 'u_max': 424, 'order_type': 'sell', 'order_id': 'Trader124:1'}
{'q': 1201, 'p_low': 84, 'p_high': 116, 'u_max': 487, 'order_type': 'sell', 'order_id': 'Trader126:1'}
{'q': 1364, 'p_low': 87, 'p_high': 108, 'u_max': 487, 'order_type': 'sell', 'order_id': 'Trader128:1'}
{'q': 1706, 'p_low': 89, 'p_high': 113, 'u_max': 410, 'order_type': 'buy', 'order_id': 'Trader130:1'}
{'q': 1125, 'p_low': 93, 'p_high': 112, 'u_max': 439, 'order_type': 'buy', 'order_id': 'Trader132:1'}
{'q': 1398, 'p_low': 96, 'p_high': 101, 'u_max': 480, 'order_type': 'buy', 'order_id': 'Trader134:1'}
{'q': 1844, 'p_low': 81, 'p_high': 103, 'u_max': 476, 'order_type': 'buy', 'order_id': 'Trader136:1'}
{'q': 1363, 'p_low': 84, 'p_high': 106, 'u_max': 408, 'order_type': 'buy', 'order_id': 'Trader138:1'}
{'q': 1478, 'p_low': 86, 'p_high': 119, 'u_max': 411, 'order_type': 'sell', 'order_id': 'Trader140:1'}
{'q': 1888, 'p_low': 93, 'p_high': 119, 'u_max': 496, 'order_type': 'sell', 'order_id': 'Trader142:1'}
{'q': 1045, 'p_low': 95, 'p_high': 106, 'u_max': 414, 'order_type': 'buy', 'order_id': 'Trader144:1'}
{'q': 1244, 'p_low': 86, 'p_high': 111, 'u_max': 490, 'order_type': 'buy', 'order_id': 'Trader146:1'}
{'q': 1608, 'p_low': 98, 'p_high': 109, 'u_max': 470, 'order_type': 'sell', 'order_id': 'Trader148:1'}
{'q': 1756, 'p_low': 84, 'p_high': 107, 'u_max': 500, 'order_type': 'buy', 'order_id': 'Trader150:1'}
{'q': 1411, 'p_low': 94, 'p_high': 116, 'u_max': 499, 'order_type': 'sell', 'order_id': 'Trader152:1'}
{'q': 1313, 'p_low': 80, 'p_high': 104, 'u_max': 450, 'order_type': 'buy', 'order_id': 'Trader154:1'}
{'q': 1895, 'p_low': 96, 'p_high': 115, 'u_max': 437, 'order_type': 'sell', 'order_id': 'Trader156:1'}
{'q': 1741, 'p_low': 92, 'p_high': 103, 'u_max': 467, 'order_type': 'buy', 'order_id': 'Trader158:1'}
{'q': 1387, 'p_low': 80, 'p_high': 116, 'u_max': 428, 'order_type': 'sell', 'order_id': 'Trader160:1'}
{'q': 1863, 'p_low': 87, 'p_high': 108, 'u_max': 486, 'order_type': 'buy', 'order_id': 'Trader162:1'}
{'q': 1666, 'p_low': 82, 'p_high': 115, 'u_max': 500, 'order_type': 'buy', 'order_id': 'Trader164:1'}
{'q': 1680, 'p_low': 97, 'p_high': 110, 'u_max': 482, 'order_type': 'buy', 'order_id': 'Trader166:1'}
{'q': 1353, 'p_low': 94, 'p_high': 109, 'u_max': 460, 'order_type': 'buy', 'order_id': 'Trader168:1'}
{'q': 1519, 'p_low': 88, 'p_high': 101, 'u_max': 449, 'order_type': 'sell', 'order_id': 'Trader170:1'}
{'q': 1627, 'p_low': 99, 'p_high': 114, 'u_max': 460, 'order_type': 'buy', 'order_id': 'Trader172:1'}
{'q': 1338, 'p_low': 95, 'p_high': 112, 'u_max': 426, 'order_type': 'sell', 'order_id': 'Trader174:1'}
{'q': 1396, 'p_low': 87, 'p_high': 116, 'u_max': 415, 'order_type': 'buy', 'order_id': 'Trader176:1'}
{'q': 1342, 'p_low': 89, 'p_high': 119, 'u_max': 433, 'order_type': 'sell', 'order_id': 'Trader178:1'}
{'q': 1989, 'p_low': 96, 'p_high': 110, 'u_max': 470, 'order_type': 'buy', 'order_id': 'Trader180:1'}
{'q': 1679, 'p_low': 90, 'p_high': 118, 'u_max': 448, 'order_type': 'buy', 'order_id': 'Trader182:1'}
{'q': 1051, 'p_low': 89, 'p_high': 103, 'u_max': 471, 'order_type': 'buy', 'order_id': 'Trader184:1'}
{'q': 1148, 'p_low': 85, 'p_high': 101, 'u_max': 500, 'order_type': 'sell', 'order_id': 'Trader186:1'}
{'q': 1958, 'p_low': 82, 'p_high': 103, 'u_max': 459, 'order_type': 'sell', 'order_id': 'Trader188:1'}
{'q': 1409, 'p_low': 88, 'p_high': 102, 'u_max': 482, 'order_type': 'sell', 'order_id': 'Trader190:1'}
{'q': 1832, 'p_low': 96, 'p_high': 104, 'u_max': 440, 'order_type': 'sell', 'order_id': 'Trader192:1'}
{'q': 1446, 'p_low': 93, 'p_high': 105, 'u_max': 401, 'order_type': 'sell', 'order_id': 'Trader194:1'}
{'q': 1264, 'p_low': 91, 'p_high': 117, 'u_max': 436, 'order_type': 'sell', 'order_id': 'Trader196:1'}
{'q': 1259, 'p_low': 95, 'p_high': 117, 'u_max': 441, 'order_type': 'buy', 'order_id': 'Trader198:1'}
{'q': 1584, 'p_low': 98, 'p_high': 109, 'u_max': 402, 'order_type': 'buy', 'order_id': 'Trader200:1'}
{'q': 1698, 'p_low': 93, 'p_high': 111, 'u_max': 496, 'order_type': 'buy', 'order_id': 'Trader202:1'}
{'q': 1061, 'p_low': 99, 'p_high': 108, 'u_max': 445, 'order_type': 'sell', 'order_id': 'Trader204:1'}
{'q': 1482, 'p_low': 84, 'p_high': 115, 'u_max': 468, 'order_type': 'sell', 'order_id': 'Trader206:1'}
{'q': 1750, 'p_low': 85, 'p_high': 112, 'u_max': 436, 'order_type': 'buy', 'order_id': 'Trader208:1'}
{'q': 1213, 'p_low': 80, 'p_high': 107, 'u_max': 469, 'order_type': 'buy', 'order_id': 'Trader210:1'}
{'q': 1174, 'p_low': 82, 'p_high': 115, 'u_max': 488, 'order_type': 'sell', 'order_id': 'Trader212:1'}
{'q': 1074, 'p_low': 99, 'p_high': 106, 'u_max': 443, 'order_type': 'sell', 'order_id': 'Trader214:1'}
{'q': 1135, 'p_low': 91, 'p_high': 114, 'u_max': 482, 'order_type': 'buy', 'order_id': 'Trader216:1'}
{'q': 1553, 'p_low': 95, 'p_high': 101, 'u_max': 474, 'order_type': 'sell', 'order_id': 'Trader218:1'}
{'q': 1497, 'p_low': 97, 'p_high': 109, 'u_max': 491, 'order_type': 'buy', 'order_id': 'Trader220:1'}
{'q': 1310, 'p_low': 92, 'p_high': 112, 'u_max': 500, 'order_type': 'sell', 'order_id': 'Trader222:1'}
{'q': 1469, 'p_low': 86, 'p_high': 109, 'u_max': 472, 'order_type': 'sell', 'order_id': 'Trader224:1'}
{'q': 1826, 'p_low': 87, 'p_high': 120, 'u_max': 441, 'order_type': 'sell', 'order_id': 'Trader226:1'}
{'q': 1168, 'p_low': 89, 'p_high': 119, 'u_max': 405, 'order_type': 'sell', 'order_id': 'Trader228:1'}
{'q': 1018, 'p_low': 90, 'p_high': 119, 'u_max': 422, 'order_type': 'sell', 'order_id': 'Trader230:1'}
{'q': 1747, 'p_low': 83, 'p_high': 103, 'u_max': 430, 'order_type': 'sell', 'order_id': 'Trader232:1'}
{'q': 1789, 'p_low': 82, 'p_high': 119, 'u_max': 414, 'order_type': 'sell', 'order_id': 'Trader234:1'}
{'q': 1679, 'p_low': 97, 'p_high': 115, 'u_max': 448, 'order_type': 'sell', 'order_id': 'Trader236:1'}
{'q': 1517, 'p_low': 87, 'p_high': 110, 'u_max': 452, 'order_type': 'sell', 'order_id': 'Trader238:1'}
{'q': 1162, 'p_low': 93, 'p_high': 120, 'u_max': 404, 'order_type': 'sell', 'order_id': 'Trader240:1'}
{'q': 1467, 'p_low': 89, 'p_high': 114, 'u_max': 433, 'order_type': 'sell', 'order_id': 'Trader242:1'}
{'q': 1749, 'p_low': 92, 'p_high': 101, 'u_max': 466, 'order_type': 'buy', 'order_id': 'Trader244:1'}
{'q': 1640, 'p_low': 96, 'p_high': 102, 'u_max': 450, 'order_type': 'sell', 'order_id': 'Trader246:1'}
{'q': 1059, 'p_low': 98, 'p_high': 117, 'u_max': 435, 'order_type': 'sell', 'order_id': 'Trader248:1'}
{'q': 1856, 'p_low': 96, 'p_high': 120, 'u_max': 407, 'order_type': 'sell', 'order_id': 'Trader250:1'}
{'q': 1631, 'p_low': 83, 'p_high': 103, 'u_max': 425, 'order_type': 'sell', 'order_id': 'Trader252:1'}
{'q': 1601, 'p_low': 83, 'p_high': 103, 'u_max': 427, 'order_type': 'sell', 'order_id': 'Trader254:1'}
{'q': 1820, 'p_low': 89, 'p_high': 108, 'u_max': 447, 'order_type': 'sell', 'order_id': 'Trader256:1'}
{'q': 1520, 'p_low': 98, 'p_high': 102, 'u_max': 444, 'order_type': 'sell', 'order_id': 'Trader258:1'}
{'q': 1204, 'p_low': 84, 'p_high': 110, 'u_max': 455, 'order_type': 'buy', 'order_id': 'Trader260:1'}
{'q': 1368, 'p_low': 93, 'p_high': 102, 'u_max': 403, 'order_type': 'buy', 'order_id': 'Trader262:1'}
{'q': 1272, 'p_low': 83, 'p_high': 120, 'u_max': 441, 'order_type': 'sell', 'order_id': 'Trader264:1'}
{'q': 1169, 'p_low': 95, 'p_high': 111, 'u_max': 406, 'order_type': 'sell', 'order_id': 'Trader266:1'}
{'q': 1927, 'p_low': 95, 'p_high': 116, 'u_max': 404, 'order_type': 'buy', 'order_id': 'Trader268:1'}
{'q': 1864, 'p_low': 89, 'p_high': 102, 'u_max': 485, 'order_type': 'sell', 'order_id': 'Trader270:1'}
{'q': 1633, 'p_low': 90, 'p_high': 115, 'u_max': 458, 'order_type': 'sell', 'order_id': 'Trader272:1'}
{'q': 1503, 'p_low': 94, 'p_high': 115, 'u_max': 409, 'order_type': 'buy', 'order_id': 'Trader274:1'}
{'q': 1566, 'p_low': 90, 'p_high': 113, 'u_max': 444, 'order_type': 'buy', 'order_id': 'Trader276:1'}
{'q': 1253, 'p_low': 85, 'p_high': 105, 'u_max': 418, 'order_type': 'buy', 'order_id': 'Trader278:1'}
{'q': 1399, 'p_low': 81, 'p_high': 114, 'u_max': 404, 'order_type': 'buy', 'order_id': 'Trader280:1'}
{'q': 1571, 'p_low': 91, 'p_high': 106, 'u_max': 424, 'order_type': 'sell', 'order_id': 'Trader282:1'}
{'q': 1129, 'p_low': 84, 'p_high': 102, 'u_max': 456, 'order_type': 'sell', 'order_id': 'Trader284:1'}
{'q': 1841, 'p_low': 85, 'p_high': 108, 'u_max': 446, 'order_type': 'sell', 'order_id': 'Trader286:1'}
{'q': 1573, 'p_low': 95, 'p_high': 101, 'u_max': 439, 'order_type': 'sell', 'order_id': 'Trader288:1'}
{'q': 1470, 'p_low': 93, 'p_high': 110, 'u_max': 471, 'order_type': 'sell', 'order_id': 'Trader290:1'}
{'q': 1333, 'p_low': 80, 'p_high': 111, 'u_max': 432, 'order_type': 'buy', 'order_id': 'Trader292:1'}
{'q': 1475, 'p_low': 99, 'p_high': 106, 'u_max': 428, 'order_type': 'buy', 'order_id': 'Trader294:1'}
{'q': 1993, 'p_low': 94, 'p_high': 119, 'u_max': 405, 'order_type': 'buy', 'order_id': 'Trader296:1'}
{'q': 1887, 'p_low': 93, 'p_high': 106, 'u_max': 400, 'order_type': 'sell', 'order_id': 'Trader298:1'}
{'q': 1131, 'p_low': 98, 'p_high': 116, 'u_max': 473, 'order_type': 'buy', 'order_id': 'Trader300:1'}
{'q': 1768, 'p_low': 99, 'p_high': 110, 'u_max': 431, 'order_type': 'buy', 'order_id': 'Trader302:1'}
{'q': 1591, 'p_low': 81, 'p_high': 106, 'u_max': 401, 'order_type': 'buy', 'order_id': 'Trader304:1'}
{'q': 1546, 'p_low': 86, 'p_high': 120, 'u_max': 465, 'order_type': 'sell', 'order_id': 'Trader306:1'}
{'q': 1665, 'p_low': 82, 'p_high': 119, 'u_max': 490, 'order_type': 'buy', 'order_id': 'Trader308:1'}
{'q': 1377, 'p_low': 81, 'p_high': 118, 'u_max': 485, 'order_type': 'sell', 'order_id': 'Trader310:1'}
{'q': 1148, 'p_low': 89, 'p_high': 105, 'u_max': 426, 'order_type': 'sell', 'order_id': 'Trader312:1'}
{'q': 1543, 'p_low': 88, 'p_high': 108, 'u_max': 455, 'order_type': 'buy', 'order_id': 'Trader314:1'}
{'q': 1016, 'p_low': 99, 'p_high': 101, 'u_max': 498, 'order_type': 'sell', 'order_id': 'Trader316:1'}
{'q': 1325, 'p_low': 83, 'p_high': 116, 'u_max': 404, 'order_type': 'buy', 'order_id': 'Trader318:1'}
{'q': 1093, 'p_low': 89, 'p_high': 104, 'u_max': 465, 'order_type': 'sell', 'order_id': 'Trader320:1'}
{'q': 1323, 'p_low': 87, 'p_high': 111, 'u_max': 492, 'order_type': 'sell', 'order_id': 'Trader322:1'}
{'q': 1410, 'p_low': 93, 'p_high': 109, 'u_max': 468, 'order_type': 'sell', 'order_id': 'Trader324:1'}
{'q': 1776, 'p_low': 96, 'p_high': 102, 'u_max': 413, 'order_type': 'buy', 'order_id': 'Trader326:1'}
{'q': 1000, 'p_low': 93, 'p_high': 111, 'u_max': 421, 'order_type': 'buy', 'order_id': 'Trader328:1'}
{'q': 1699, 'p_low': 96, 'p_high': 116, 'u_max': 412, 'order_type': 'buy', 'order_id': 'Trader330:1'}
{'q': 1435, 'p_low': 99, 'p_high': 109, 'u_max': 454, 'order_type': 'buy', 'order_id': 'Trader332:1'}
{'q': 1621, 'p_low': 84, 'p_high': 101, 'u_max': 446, 'order_type': 'buy', 'order_id': 'Trader334:1'}
{'q': 1669, 'p_low': 89, 'p_high': 111, 'u_max': 444, 'order_type': 'sell', 'order_id': 'Trader336:1'}
{'q': 1919, 'p_low': 96, 'p_high': 114, 'u_max': 442, 'order_type': 'sell', 'order_id': 'Trader338:1'}
{'q': 1697, 'p_low': 97, 'p_high': 108, 'u_max': 432, 'order_type': 'sell', 'order_id': 'Trader340:1'}
{'q': 1668, 'p_low': 91, 'p_high': 103, 'u_max': 447, 'order_type': 'buy', 'order_id': 'Trader342:1'}
{'q': 1739, 'p_low': 85, 'p_high': 118, 'u_max': 425, 'order_type': 'sell', 'order_id': 'Trader344:1'}
{'q': 1334, 'p_low': 86, 'p_high': 111, 'u_max': 496, 'order_type': 'sell', 'order_id': 'Trader346:1'}
{'q': 1635, 'p_low': 81, 'p_high': 105, 'u_max': 427, 'order_type': 'buy', 'order_id': 'Trader348:1'}
{'q': 1332, 'p_low': 97, 'p_high': 111, 'u_max': 456, 'order_type': 'buy', 'order_id': 'Trader350:1'}
{'q': 1684, 'p_low': 96, 'p_high': 107, 'u_max': 438, 'order_type': 'buy', 'order_id': 'Trader352:1'}
{'q': 1614, 'p_low': 96, 'p_high': 103, 'u_max': 486, 'order_type': 'buy', 'order_id': 'Trader354:1'}
{'q': 1211, 'p_low': 88, 'p_high': 112, 'u_max': 459, 'order_type': 'sell', 'order_id': 'Trader356:1'}
{'q': 1165, 'p_low': 90, 'p_high': 116, 'u_max': 448, 'order_type': 'sell', 'order_id': 'Trader358:1'}
{'q': 1442, 'p_low': 93, 'p_high': 109, 'u_max': 448, 'order_type': 'sell', 'order_id': 'Trader360:1'}
{'q': 1703, 'p_low': 90, 'p_high': 119, 'u_max': 417, 'order_type': 'sell', 'order_id': 'Trader362:1'}
{'q': 1578, 'p_low': 98, 'p_high': 114, 'u_max': 486, 'order_type': 'buy', 'order_id': 'Trader364:1'}
{'q': 1907, 'p_low': 99, 'p_high': 118, 'u_max': 466, 'order_type': 'sell', 'order_id': 'Trader366:1'}
{'q': 1796, 'p_low': 99, 'p_high': 107, 'u_max': 429, 'order_type': 'sell', 'order_id': 'Trader368:1'}
{'q': 1760, 'p_low': 86, 'p_high': 113, 'u_max': 451, 'order_type': 'buy', 'order_id': 'Trader370:1'}
{'q': 1094, 'p_low': 85, 'p_high': 102, 'u_max': 500, 'order_type': 'buy', 'order_id': 'Trader372:1'}
{'q': 1092, 'p_low': 82, 'p_high': 119, 'u_max': 401, 'order_type': 'sell', 'order_id': 'Trader374:1'}
{'q': 1784, 'p_low': 87, 'p_high': 111, 'u_max': 483, 'order_type': 'sell', 'order_id': 'Trader376:1'}
{'q': 1470, 'p_low': 82, 'p_high': 115, 'u_max': 444, 'order_type': 'sell', 'order_id': 'Trader378:1'}
{'q': 1269, 'p_low': 91, 'p_high': 104, 'u_max': 409, 'order_type': 'buy', 'order_id': 'Trader380:1'}
{'q': 1130, 'p_low': 88, 'p_high': 102, 'u_max': 451, 'order_type': 'sell', 'order_id': 'Trader382:1'}
{'q': 1112, 'p_low': 82, 'p_high': 117, 'u_max': 405, 'order_type': 'sell', 'order_id': 'Trader384:1'}
{'q': 1619, 'p_low': 84, 'p_high': 116, 'u_max': 459, 'order_type': 'sell', 'order_id': 'Trader386:1'}
{'q': 1251, 'p_low': 86, 'p_high': 114, 'u_max': 435, 'order_type': 'sell', 'order_id': 'Trader388:1'}
{'q': 2000, 'p_low': 83, 'p_high': 115, 'u_max': 475, 'order_type': 'sell', 'order_id': 'Trader390:1'}
{'q': 1576, 'p_low': 84, 'p_high': 111, 'u_max': 450, 'order_type': 'buy', 'order_id': 'Trader392:1'}
{'q': 1223, 'p_low': 95, 'p_high': 117, 'u_max': 433, 'order_type': 'sell', 'order_id': 'Trader394:1'}
{'q': 1819, 'p_low': 83, 'p_high': 108, 'u_max': 434, 'order_type': 'sell', 'order_id': 'Trader396:1'}
{'q': 1529, 'p_low': 87, 'p_high': 106, 'u_max': 472, 'order_type': 'sell', 'order_id': 'Trader398:1'}
{'q': 1321, 'p_low': 83, 'p_high': 107, 'u_max': 454, 'order_type': 'buy', 'order_id': 'Trader400:1'}
{'q': 1982, 'p_low': 91, 'p_high': 104, 'u_max': 472, 'order_type': 'buy', 'order_id': 'Trader402:1'}
{'q': 1609, 'p_low': 85, 'p_high': 115, 'u_max': 409, 'order_type': 'buy', 'order_id': 'Trader404:1'}
{'q': 1214, 'p_low': 89, 'p_high': 101, 'u_max': 448, 'order_type': 'sell', 'order_id': 'Trader406:1'}
{'q': 1617, 'p_low': 86, 'p_high': 118, 'u_max': 409, 'order_type': 'sell', 'order_id': 'Trader408:1'}
{'q': 1979, 'p_low': 83, 'p_high': 107, 'u_max': 480, 'order_type': 'sell', 'order_id': 'Trader410:1'}
{'q': 1692, 'p_low': 92, 'p_high': 119, 'u_max': 424, 'order_type': 'sell', 'order_id': 'Trader412:1'}
{'q': 1038, 'p_low': 97, 'p_high': 119, 'u_max': 482, 'order_type': 'sell', 'order_id': 'Trader414:1'}
{'q': 1227, 'p_low': 91, 'p_high': 106, 'u_max': 498, 'order_type': 'sell', 'order_id': 'Trader416:1'}
{'q': 1207, 'p_low': 97, 'p_high': 106, 'u_max': 475, 'order_type': 'buy', 'order_id': 'Trader418:1'}
{'q': 1656, 'p_low': 85, 'p_high': 119, 'u_max': 458, 'order_type': 'sell', 'order_id': 'Trader420:1'}
{'q': 1824, 'p_low': 85, 'p_high': 117, 'u_max': 462, 'order_type': 'buy', 'order_id': 'Trader422:1'}
{'q': 1078, 'p_low': 90, 'p_high': 104, 'u_max': 424, 'order_type': 'buy', 'order_id': 'Trader424:1'}
{'q': 1491, 'p_low': 83, 'p_high': 112, 'u_max': 485, 'order_type': 'buy', 'order_id': 'Trader426:1'}
{'q': 1377, 'p_low': 82, 'p_high': 106, 'u_max': 418, 'order_type': 'sell', 'order_id': 'Trader428:1'}
{'q': 1230, 'p_low': 96, 'p_high': 104, 'u_max': 496, 'order_type': 'sell', 'order_id': 'Trader430:1'}
{'q': 1086, 'p_low': 85, 'p_high': 115, 'u_max': 425, 'order_type': 'buy', 'order_id': 'Trader432:1'}
{'q': 1375, 'p_low': 86, 'p_high': 101, 'u_max': 430, 'order_type': 'buy', 'order_id': 'Trader434:1'}
{'q': 1231, 'p_low': 87, 'p_high': 116, 'u_max': 424, 'order_type': 'sell', 'order_id': 'Trader436:1'}
